q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,40000.0,1.0,2.500000000000046e-05
0.01,39203.067,3.592,8.980000000000141e-05
0.02,38407.589,4.421,0.00011052500000000113
0.03,37611.882,5.185,0.0001296249999999996
0.04,36816.857,5.847,0.00014617499999999942
0.05,36020.271,6.521,0.000163025000000001
0.06,35224.119,7.221,0.00018052500000000185
0.07,34427.781,7.894,0.00019735000000000236
0.08,33632.97,8.624,0.00021560000000000242
0.09,32839.357,9.393,0.00023482500000000163
0.1,32045.037,10.235,0.0002558749999999998
0.11,31250.255,11.124,0.0002780999999999991
0.12,30457.247,12.069,0.00030172500000000046
0.13,29664.914,13.086,0.00032715000000000234
0.14,28873.553,14.133,0.00035332500000000324
0.15,28083.662,15.312,0.00038280000000000383
0.16,27293.894,16.547,0.0004136750000000043
0.17,26505.77,18.032,0.00045080000000000326
0.18,25718.799,19.532,0.0004883000000000013
0.19,24933.099,21.179,0.0005294749999999982
0.2,24150.99,23.081,0.0005770249999999978
0.21,23370.575,25.196,0.0006298999999999985
0.22,22591.282,27.582,0.000689549999999999
0.23,21816.398,30.069,0.0007517249999999989
0.24,21044.829,32.936,0.0008233999999999991
0.25,20274.65,36.427,0.0009106749999999998
0.26,19508.942,39.879,0.0009969750000000022
0.27,18748.722,43.842,0.0010960500000000003
0.28,17990.252,48.328,0.0012082000000000009
0.29,17237.28,53.844,0.0013460999999999994
0.3,16492.676,59.762,0.001494049999999998
0.31,15753.835,66.917,0.0016729250000000005
0.32,15022.382,74.788,0.001869700000000002
0.33,14298.032,84.184,0.002104600000000004
0.34,13580.796,96.096,0.0024024000000000038
0.35,12872.482,109.899,0.002747475000000004
0.36,12172.747,127.939,0.0031984749999999992
0.37,11485.197,148.438,0.0037109500000000037
0.38,10808.795,175.744,0.004393599999999993
0.39,10144.214,210.365,0.0052591249999999964
0.4,9492.603,255.254,0.006381349999999994
0.41,8856.335,313.297,0.007832424999999995
0.42,8236.981,392.832,0.009820800000000001
0.43,7635.38,499.298,0.01248245
0.44,7051.034,668.493,0.01671232500000001
0.45,6487.423,935.881,0.023397025000000002
0.46,5945.583,1377.8,0.03444500000000002
0.47,5430.398,2145.854,0.053646349999999975
0.48,4942.048,3685.951,0.09214877499999999
0.49,4483.45,7131.071,0.1782767750000001
0.5,4058.223,14369.473,0.3592368249999996
0.51,3668.226,23758.783,0.5939695749999996
0.52,3313.07,29523.549,0.7380887250000012
0.53,2990.604,32259.329,0.8064832250000014
0.54,2696.327,33855.71,0.84639275
0.55,2429.102,34941.534,0.8735383499999999
0.56,2185.362,35770.279,0.8942569749999998
0.57,1963.595,36423.79,0.9105947499999991
0.58,1761.258,36959.436,0.9239859000000006
0.59,1577.926,37397.045,0.934926125
0.6,1410.374,37765.027,0.9441256750000002
0.61,1259.005,38076.572,0.9519143
0.62,1120.856,38342.187,0.9585546749999984
0.63,996.247,38569.424,0.9642355999999996
0.64,882.785,38765.371,0.9691342750000008
0.65,780.541,38934.771,0.9733692749999991
0.66,687.705,39082.528,0.9770632000000002
0.67,604.048,39210.45,0.9802612500000003
0.68,528.938,39322.226,0.9830556499999992
0.69,461.95,39418.645,0.9854661250000009
0.7,402.574,39501.476,0.9875369000000015
0.71,349.048,39575.099,0.9893774749999983
0.72,301.155,39638.748,0.990968699999998
0.73,258.521,39694.171,0.9923542750000008
0.74,220.878,39742.222,0.9935555500000023
0.75,187.877,39783.797,0.9945949250000011
0.76,159.14,39819.12,0.9954780000000012
0.77,133.985,39849.523,0.9962380749999987
0.78,111.865,39875.689,0.9968922249999994
0.79,92.962,39897.839,0.9974459749999989
0.8,76.503,39916.813,0.9979203249999988
0.81,62.295,39932.954,0.998323849999998
0.82,50.41,39946.329,0.9986582249999978
0.83,40.367,39957.545,0.9989386249999982
0.84,32.094,39966.715,0.9991678750000004
0.85,25.023,39974.447,0.9993611749999992
0.86,19.367,39980.574,0.9995143499999997
0.87,14.738,39985.57,0.9996392500000004
0.88,11.138,39989.404,0.9997351000000003
0.89,8.176,39992.55,0.9998137500000012
0.9,6.048,39994.78,0.9998695000000006
0.91,4.402,39996.488,0.9999121999999987
0.92,3.141,39997.796,0.9999448999999953
0.93,2.328,39998.641,0.9999660249999932
0.94,1.734,39999.246,0.9999811499999932
0.95,1.392,39999.6,0.9999899999999954
0.96,1.189,39999.808,0.9999951999999968
0.97,1.068,39999.931,0.9999982749999985
0.98,1.014,39999.986,0.99999965
0.99,1.002,39999.998,0.99999995
1.0,1.0,40000.0,1.0
