q,Componentes Conexos,Tamaño Clúster Mayor,N_sc
0.0,1000.0,1.0,0.001
0.01,158.0,821.0,0.821
0.02,53.0,945.0,0.945
0.03,32.0,969.0,0.969
0.04,22.0,977.0,0.977
0.05,17.0,983.0,0.983
0.06,12.0,989.0,0.989
0.07,11.0,990.0,0.99
0.08,11.0,990.0,0.99
0.09,10.0,991.0,0.991
0.1,10.0,991.0,0.991
0.11,9.0,992.0,0.992
0.12,7.0,994.0,0.994
0.13,6.0,995.0,0.995
0.14,6.0,995.0,0.995
0.15,6.0,995.0,0.995
0.16,4.0,997.0,0.997
0.17,3.0,998.0,0.998
0.18,3.0,998.0,0.998
0.19,3.0,998.0,0.998
0.2,3.0,998.0,0.998
0.21,3.0,998.0,0.998
0.22,3.0,998.0,0.998
0.23,2.0,999.0,0.999
0.24,1.0,1000.0,1.0
0.25,1.0,1000.0,1.0
0.26,1.0,1000.0,1.0
0.27,1.0,1000.0,1.0
0.28,1.0,1000.0,1.0
0.29,1.0,1000.0,1.0
0.3,1.0,1000.0,1.0
0.31,1.0,1000.0,1.0
0.32,1.0,1000.0,1.0
0.33,1.0,1000.0,1.0
0.34,1.0,1000.0,1.0
0.35,1.0,1000.0,1.0
0.36,1.0,1000.0,1.0
0.37,1.0,1000.0,1.0
0.38,1.0,1000.0,1.0
0.39,1.0,1000.0,1.0
0.4,1.0,1000.0,1.0
0.41,1.0,1000.0,1.0
0.42,1.0,1000.0,1.0
0.43,1.0,1000.0,1.0
0.44,1.0,1000.0,1.0
0.45,1.0,1000.0,1.0
0.46,1.0,1000.0,1.0
0.47,1.0,1000.0,1.0
0.48,1.0,1000.0,1.0
0.49,1.0,1000.0,1.0
0.5,1.0,1000.0,1.0
0.51,1.0,1000.0,1.0
0.52,1.0,1000.0,1.0
0.53,1.0,1000.0,1.0
0.54,1.0,1000.0,1.0
0.55,1.0,1000.0,1.0
0.56,1.0,1000.0,1.0
0.57,1.0,1000.0,1.0
0.58,1.0,1000.0,1.0
0.59,1.0,1000.0,1.0
0.6,1.0,1000.0,1.0
0.61,1.0,1000.0,1.0
0.62,1.0,1000.0,1.0
0.63,1.0,1000.0,1.0
0.64,1.0,1000.0,1.0
0.65,1.0,1000.0,1.0
0.66,1.0,1000.0,1.0
0.67,1.0,1000.0,1.0
0.68,1.0,1000.0,1.0
0.69,1.0,1000.0,1.0
0.7,1.0,1000.0,1.0
0.71,1.0,1000.0,1.0
0.72,1.0,1000.0,1.0
0.73,1.0,1000.0,1.0
0.74,1.0,1000.0,1.0
0.75,1.0,1000.0,1.0
0.76,1.0,1000.0,1.0
0.77,1.0,1000.0,1.0
0.78,1.0,1000.0,1.0
0.79,1.0,1000.0,1.0
0.8,1.0,1000.0,1.0
0.81,1.0,1000.0,1.0
0.82,1.0,1000.0,1.0
0.83,1.0,1000.0,1.0
0.84,1.0,1000.0,1.0
0.85,1.0,1000.0,1.0
0.86,1.0,1000.0,1.0
0.87,1.0,1000.0,1.0
0.88,1.0,1000.0,1.0
0.89,1.0,1000.0,1.0
0.9,1.0,1000.0,1.0
0.91,1.0,1000.0,1.0
0.92,1.0,1000.0,1.0
0.93,1.0,1000.0,1.0
0.94,1.0,1000.0,1.0
0.95,1.0,1000.0,1.0
0.96,1.0,1000.0,1.0
0.97,1.0,1000.0,1.0
0.98,1.0,1000.0,1.0
0.99,1.0,1000.0,1.0
1.0,1.0,1000.0,1.0
